entity_id,Name,Address,Latitude,Longitude,Rating,Reviews,phone_number,Parking availability,Desciption,Peak hours,Links,Documents required,Dress code,Category,sub_category,sub_sub_category,region,Image_url
11,Sri Prasanna Venkateswara Swamy Temple,"Appalayagunta, Tirupati, Andhra Pradesh 517551",13.53744793,79.4776159,,,TTD Helpline: 0877-2233333 / 2277777.,Yes,"800‑year‑old temple by Karvetinagaram king; unique Abhaya Hasta Venkateswara with Padmavathi, Anjaneya opposite; Vaikhanasa Agama rituals","8:00–11:00 AM, 6:00–7:30 PM",https://ttdevasthanams.ap.gov.in/temples.,Not required,"Not as strictly codified as Tirumala, but visitors are expected to dress modestly and traditionally",Place to visit,Temple,,"tirupati,tirumala",https://drive.google.com/file/d/1QBF9B_4bS_YL-dQmpD9tZ7REqx4zxsL7/view?usp=sharing
12,Agastheeswara Swamy Temple (Tondavada),"Tirupati Rd, Thondavada, Andhra Pradesh 517505",13.59777216,79.34000015,,,TTD Helpline: 0877-2233333 / 2277777.,Yes,"The Agastheeswara Swamy Temple in Tondavada (Mukkoti), Andhra Pradesh, is a historic Shiva temple situated at the sacred confluence of three rivers: Swarnamukhi, Bhima, and Kalyani, housing the lingam believed to have been installed by Sage Agastya","6:30–9:00 AM,4:30–7:00 PM.",https://tirupatitirumalainfo.com/agastheswara-swamy-temple-thondavada/.,Not required,"Not as strictly codified as Tirumala, but visitors are expected to dress modestly and traditionally",Place to visit,Temple,,"tirupati,tirumala",https://drive.google.com/file/d/1h-zwhwV75OpAYPGcJlywP4RwMaAShWMX/view?usp=sharing
13,Sri Parasareshwaraswami Temple,"Narayanavanam, Andhra Pradesh 517581",13.43218477,79.58910643,,,TTD Helpline: 0877-2233333 / 2277777.,No,"Narayanavanam is famous for the Sri Kalyana Venkateswara Swamy Temple, a significant pilgrimage site where Lord Venkateswara married Goddess Padmavati, making it a sacred spot for newlywed couples and devotees of Lord Vishnu","typically 7:00–10:00 AM, 5:00–7:00 PM)",https://gotirupati.com/parasareswara-swamy-temple/.,Not required,"Not as strictly codified as Tirumala, but visitors are expected to dress modestly and traditionally",Place to visit,Temple,,"tirupati,tirumala",https://drive.google.com/file/d/1AVtMlAnrpo-7mkJq6kYnJ0-gfgHyiR8O/view?usp=sharing
14,Sri Renuka Parameswari Temple,"Patnool St, Nehru Nagar, Tirupati, Andhra Pradesh 517501",13.63711319,79.41358947,,,,No,Dedicated to Renuka Parameswari Amman; features annual mahotsavams with vichitra vesham processions; simple yet powerful local Shakti shrine,6:00–8:00 PM daily,https://www.justdial.com/Tirupati/Sri-Renuka-Parameswari-Temple-Nehru-Nagar/.,Not required,"Not as strictly codified as Tirumala, but visitors are expected to dress modestly and traditionally",Place to visit,Temple,,"tirupati,tirumala",https://drive.google.com/file/d/1JnXze40wGYPJKpjXNwqD1NLxm0Dr4l8d/view?usp=sharing
15,Srikalahasteeswara Temple,"Srikalahasti, Andhra Pradesh 517644",13.76143646,79.69670263,,,8578 222240,Yes,"Massive 5‑storey gopuram (18‑storey planned); Shiva as Kalahasteeswara with Gnana Prasunamba; unique swayambhu linga worshipped by spider, snake, elephant; Rahu Ketu shrines outside.","mornings 6:00–9:00 AM, evenings 6:00–8:00 PM",https://srikalahastitemple.org.in/contact/,Not required,"men should wear dhoti/pyjama with kurta/upper cloth, and women should wear saree, salwar kameez, or long skirt/churidar with modest top covering shoulders and midriff; western wear, shorts, sleeveless tops, and revealing clothes are prohibited",Place to visit,Temple,,"tirupati,tirumala",https://drive.google.com/file/d/1lrlinqAwlviyn1NGDkG_sy4RjPsYE09Q/view?usp=sharing
16,"Sri Swayambhu Varasidhi Vinayaka Swamy Devastanam, Kanipakam","near Temple, Kanipakam, Andhra Pradesh 517131",13.27752671,79.03409421,,,"08573 281747, 281540",Yes,"Sri Swayambhu Varasidhi Vinayaka Swamy Devastanam at Kanipakam, Andhra Pradesh, is a renowned temple housing a self-manifested Lord Ganesha idol that is believed to grow continuously","mornings 6:00–11:00 AM, evenings 6:00–9:00 PM",https://srikanipakadevasthanam.org/en-in/sevas-and-darshanam/darshanam.,Not required,"men should wear dhoti/pyjama with kurta/upper cloth, and women should wear saree, salwar kameez, or long skirt/churidar with modest top covering shoulders and midriff; western wear, shorts, sleeveless tops, and revealing clothes are prohibited",Place to visit,Temple,,"tirupati,tirumala",https://drive.google.com/file/d/1VsF2Ay3iIjU2vUnfdf0yILw-lz6aXNch/view?usp=sharing
17,subramanya swamy temple,"Padmagiri Hill, Thanapalli (V), Tirupati (D), Andhra Pradesh, India, PIN code 517501",13.5851949,79.4314015,,,9491418837,Yes,"Devotees believe offerings to this deity bring remedies to life challenges including marriage, offspring, health, and wealth","7:00-9:00 AM,11:00 AM-12:00 PM,5:00-6:30 PM",https://subramanyaswamythanapalli.com/,Not required,"Not as strictly codified as Tirumala, but visitors are expected to dress modestly and traditionally",Place to visit,Temple,,"tirupati,tirumala",https://drive.google.com/file/d/1bkBami8u8bxUVc2o1E6eVSql-aUiXLRT/view?usp=sharing
18,Sri Lakshmi Narayani Golden Temple,"Sri Narayani Peedam, Thirumalaikodi, Vellore, Tamil Nadu 632055",12.89516532,79.0813825,,,"91-416-2271202 , 2206500",Yes,"The Sripuram Golden Temple in Vellore is a stunning Hindu temple dedicated to Goddess Lakshmi, famous for its entire structure covered in pure gold foil, using over 1,500 kg of gold for its intricate carvings","Mornings 8:00–11:00 AM, evenings 5:00–7:30 PM",: https://www.sripuram.org/Sripuram-pooja-and-sevas.,Not required,"men should wear dhoti/pyjama with kurta/upper cloth, and women should wear saree, salwar kameez, or long skirt/churidar with modest top covering shoulders and midriff; western wear, shorts, sleeveless tops, and revealing clothes are prohibited",Place to visit,Temple,,"tirupati,tirumala",https://drive.google.com/file/d/1iImrb5JJld8i02GZLNj9_O762SSA2hUF/view?usp=sharing
19,Arulmigu Subramaniya Swami Temple,"146a, Periya Ratha Veethi, Thiruparankundram, Tamil Nadu 625005",9.879923,78.0712892,,,1.80E+11,Yes,"Arulmigu Subramaniya Swami temples are Murugan shrines, typically on or near hills, with tall gopurams, multiple mandapams, and prakarams in classic Dravidian style.",9:00 AM–12:00 PM,https://tiruchendurmurugan.hrce.tn.gov.in/,Not required,,Place to visit,Temple,,"tirupati,tirumala",https://drive.google.com/file/d/1_2emb12BZNTjfIcvqTPhb1ebZoUv2ioC/view?usp=sharing
20,Sri Venkateshwara Museum,"Tirumala, Tirupathi, Tirupati , Andhra Pradesh 517504",13.6840375,79.3432969,4.6,17000,,,"Museum displaying varied religious & cultural artifacts & ornaments, plus photos & instruments.",,https://www.tirumala.org/S.V.%20Museum.aspx,,,place to visit,Museum,,"tirupati,tirumala",https://drive.google.com/file/d/1H2KNFP0vxwiPWoDf1ATXpwFmwGPWUZv4/view?usp=sharing
21,"Regional Science Centre, Tirupati","Planetarium Road, Tirupati",13.6432054,79.3979405,4.4,1300,,,"Kid-friendly place with interactive displays, 3D theater & outdoor trail with dinosaur replicas.",,https://www.rsctirupati.org.in/en/home/,,,place to visit,Museum,,"tirupati,tirumala",https://drive.google.com/file/d/18DtFtp3ZCqkEJvLkQdKd36W6KHMWzGxy/view?usp=sharing
22,Seshachala Vanadarshini Forest Museum,"Anjanadri, Tirupati, Andhra Pradesh 517507",13.6595676,79.3839029,4.4,64,,,Forest museum with nature exhibits,,,,,place to visit,Museum,,"tirupati,tirumala",https://drive.google.com/file/d/16COtnAle-PQ_Q07ihx2daj7MfNnjtEkl/view?usp=sharing
23,Chandragiri Fort,"tpt road, Chandragiri, Andhra Pradesh 517101",13.5830349,79.3053587,4.2,9500,,,"Chandragiri Fort is a historical fort located in the Chandragiri suburb of Tirupati, in Tirupati district of Andhra Pradesh, India. The fort, with its rectangular bastions and steep moat, was built during the reign of Immadi Narasimha Yadavaraya, who ruled from Narayanavanam.",,https://aptourism.gov.in/destinations/12/chandragiri-fort,,,place to visit,fort,museum,"tirupati,tirumala",https://drive.google.com/file/d/1OHTtxWe_hUkA3XQpmJ8X1SMsRR-CePsP/view?usp=sharing
24,Planetarium - Space Exposition Hall,"Regional Science Centre, Alipiri Bypass Road, Tirupati, Andhra Pradesh 517507",13.6430522,79.3983473,4.3,11,0877 228 6202,,"offering digital planetarium shows, interactive astronomy exhibits, and innovation spaces for science exploration, making it a good spot for families and students interested in space and science with a focus on curriculum-related learning and hands-on experiments.",,,,,place to visit,Museum,,"tirupati,tirumala",https://drive.google.com/file/d/1A-uqMWPjgoPc3iLN602MOgPyIfFmjQTd/view?usp=sharing
25,RANI MAHAL,"Chandragiri, Andhra Pradesh 517101",13.5831007,79.3054858,4,10,,,"a historic palace within the Chandragiri Fort complex, known for its blend of Hindu and Islamic architecture",,,,,place to visit,Museum,,"tirupati,tirumala",https://drive.google.com/file/d/1KioMXfct2j_K4wLbQBStTEHzlh_iRU-P/view?usp=sharing
26,S.V. National Park Tirupati,"Jeevakona, Tirupati, Andhra Pradesh 517505",13.6248547,79.3646386,4.1,82,,,National forest,,,,,place to visit,outdoor,Nationalpark,"tirupati,tirumala",https://drive.google.com/file/d/1uh23QGs6jKvtOdtZqviiFfjE9korJhsj/view?usp=sharing
27,Divyaramam Park,"Tirupati, Andhra Pradesh 517507",13.6518168,79.4162782,4.4,4111,,Yes,Park with waterfall and natural pools,,,,,place to visit,outdoor,Nationalpark,"tirupati,tirumala",https://drive.google.com/file/d/1qHo-dzl4Q736kAkoHXkr5b6q-_Mf8EZt/view?usp=sharing
28,Silathoranam Garden,"Sila Thoranam Rd, Tirumala, Tirupati , Andhra Pradesh 517504",13.6873199,79.3404977,4.6,8323,,Yes,Garden park,,,,,place to visit,outdoor,Nationalpark,"tirupati,tirumala",https://drive.google.com/file/d/1ykkjXvjkienTZUsOOWmfZKzlgn5EhKZ2/view?usp=sharing
29,Gogarbham Dam Park,"Tirumala, Tirupati, Tirupati , Andhra Pradesh 517504",13.6909398,79.3540774,4.4,637,,Yes,Park with wildlife,,,,,place to visit,outdoor,Nationalpark,"tirupati,tirumala",https://drive.google.com/file/d/1K2nWn4kYgFD2Y89gWbXEBD9CIVdbokDu/view?usp=sharing
30,Srinivasa Puram TUDA Park,"Kesavayana Gunta, Padmavati Nagar, Tirupati, Andhra Pradesh 517503",13.6155801,79.4308949,4.1,938,,Yes,Park,,,,,place to visit,outdoor,Nationalpark,"tirupati,tirumala",https://drive.google.com/file/d/1otW-hAM2zZsab9FtphqVPfIwAcHsIqo4/view?usp=sharing
31,Bluland Water Park,"Mallayapalli road lane, beside Cafe Coffee Day, Chandragiri, Tirupati, Andhra Pradesh 517102",13.5683416,79.3103073,4.3,1872,,Yes,Water park,,,,,place to visit,outdoor,Nationalpark,"tirupati,tirumala",https://drive.google.com/file/d/1WwZAYUJDIZ82PjyhuxJhIChV1KZZ85uy/view?usp=sharing
32,Prakasam Park,"Pillar No:73, Alipiri Rd, beside Municipal Park, opp. Ratnam School Road, Srinivasa Nagar, Madura Nagar, Tirupati, Andhra Pradesh 517507",13.6469981,79.4261031,4.3,10252,,No,Lush public park with fountains,5:00PM -7:00 PM,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1by61CAC5bNBhga32yWt0W4m5mLSf4hac/view?usp=sharing
33,Geetopadesam Park,"Tirumala-Tirupati Rd, Garudadri Nagar, Tirumala, Tirupati , Andhra Pradesh 517504",13.6736417,79.3505852,4.5,1121,,No,Beautiful escape area,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1S2CbH5jYduok2nCjmxtLQsYP_Tx3LDdv/view?usp=sharing
34,Sri Padmavati Park,"Bairagipatteda Rd, beside Indian Bank, Bairagi patteda, Tirupati, Andhra Pradesh 517501",13.6185741,79.4217682,4.2,2649,,No,Peaceful and clean park,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1mWwXQLF44_v3aWs2uRZqJOWG1WKQi_Q2/view?usp=sharing
35,Sri Babu Jagjivanram Park,"Padmavathipuram, Tirupati, Andhra Pradesh 517501",13.6184413,79.4250097,4.3,4313,,No,Park with on-site services,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1ndiqO0b9jsqiEtvfqhRUM_vwRo7diACr/view?usp=sharing
36,L.S. Nagar Park,"L. S. Nagar, Lakshmi Srinivasa Nagar, Vidya Nagar Colony, peruru, Andhra Pradesh 517502",13.6200618,79.3884895,4.2,279,,No,Small picnic garden,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1rDMZ1JMRApaPrmXDuGptN2Q9EZ3qnLLX/view?usp=sharing
37,Rajanna Municipal Park,"Manchala St, Nehru Nagar, Tirupati, Andhra Pradesh 517501",13.6387036,79.4156165,4,2590,,Yes,Family-friendly play area,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1LxauvxZqaUZjkk3jGeX55AipI0T0gq_L/view?usp=sharing
38,Municipal Park,"Pillar No:73, Prakasham park, Alipiri Rd, beside Municipal Park, opp. Ratnam School Road, Srinivasa Nagar, Madura Nagar, Tirupati, Andhra Pradesh 517507",13.6473327,79.4263512,4.4,1400,,No,Public park with facilities,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1IWYZ8Is7PYIavCuo-91wKIsiPY2bcJcq/view?usp=sharing
39,A2Z EXOTIC PARK RESTAURANTS,"23, Mangalam, Chennayyagunta, Andhra Pradesh 517509",13.654995,79.4712067,4.7,1678,,No,Exotic park with restaurants,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1ayOVDPLpGAaIFcjkVGt58yYNsOh9VXGX/view?usp=sharing
40,Narayanagiri Gardens,"irumala, Tirupati , Andhra Pradesh 517504",13.6814122,79.3429663,4.5,7207,096002 64661,No,Landscaped gardens with walking paths,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1a8RlCYhSs-Vdfe7HoFrpEjXwKk7u7lqb/view?usp=sharing
41,Padmavathi Nagar Park,"Padmavati Nagar, Tirupati, Andhra Pradesh 517503",13.615564,79.430885,4.3,152,,No,Small neighborhood park,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1eZUeRjy-vvJqXLYhHkXAQl6CBdENVoZN/view?usp=sharing
42,Padmavathi Park,"Srinivasa Nagar, K.B Layout, Tirupati, Andhra Pradesh 517501",13.6403827,79.4131541,4.1,840,,No,Quiet park for relaxation,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1nV65nFO3yXjAhz3D-6tUGrXnmdRMSGda/view?usp=sharing
43,Jungle Book & Park,"Near, KT Rd, Tirupati, Andhra Pradesh 517507",13.6551719,79.4205254,4.2,751,,No,Park with natural environment,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/16AramKDLJZdCtvRgS1cuLLgKWrabQ_1H/view?usp=sharing
44,N.G.O Colony Park,"Srinivasa Nagar, N G O Colony, Tirupati, Andhra Pradesh 517507",13.6519631,79.4190593,4.2,365,,No,Small community park,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1-CDF13UT-h6ONhKVcr80nEVoK7WkEEVb/view?usp=sharing
45,Vaikuntapuram Park,"Dhanalakshmi Nagar, Vk Puram, Avilali, Andhra Pradesh 517502",13.6155798,79.4100253,4.3,1130,,No,Clean and spacious park,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1zp0lwKxff_D1SBHr9I6dcZKtSOUV1X1r/view?usp=sharing
46,Kapileswara Swamy Vari Park,"Srinivasa Nagar, Tirupati, Andhra Pradesh 517507",13.6554863,79.4206434,4.5,328,,No,Small park with natural greenery,6:00 AM -8:00 AM,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1RqZ8Zq7sFmei_WnNIHlzSuA8NFiCT3Cz/view?usp=sharing
47,Sri Ramachandra Pushkarini,"Alipiri Rd, Nehru Nagar, Tirupati, Andhra Pradesh 517501",13.6343101,79.4133452,4.4,785,,No,Historical site with walking paths,,,,,place to visit,outdoor,sacred water tank,"tirupati,tirumala",https://drive.google.com/file/d/13ubUwQckjZlsQO2IE4-TbXiJFiD23Umt/view?usp=sharing
48,Babu Jagjeevanrao Park,"STV Nagar, Tirupati, Andhra Pradesh 517501",13.6188837,79.4250383,4.2,390,,No,Well-maintained neighborhood park,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1Von0snQnhrYZFp-9cV3DSQg4C0AmnvD3/view?usp=sharing
49,Naamala Park,"SMC, Bus Stop, Sankumitta Rd, Balajy Colony, Tirumala, Tirupati , Andhra Pradesh 517504",13.6790639,79.3485802,4.6,54,,,,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1sziXrkQ-sQVPAsX71JuecsWbKXsD_S5j/view?usp=sharing
50,DEVLOK,"SV, Devlok, AP Tourism Site, Survey No - 604 Alipiri, Zoo Park Road, peruru, Tirupati, Andhra Pradesh 517505",13.6284778,79.3745709,4.1,258,,,,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1eGVYuAieTu-fFpy88KEYM0Oztxs1yOkh/view?usp=sharing
51,Jungle Book Water Falls,"Tirumala Down Rd, Anjanadri, Tirupati, Andhra Pradesh 517507",13.6536648,79.417866,4.6,1800,,,,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1OnzQ0F0L6BgJHqQp_XqrfouXSjMBaRXy/view?usp=sharing
52,Rock Garden.,"Sila Thoranam Rd, Tirumala, Tirupati, Tirupati , Andhra Pradesh 517504",13.685949,79.3408562,4.4,193,,,,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1S2fzDZD5lFeGsqgi7HRgok1NC2-yah9Y/view?usp=sharing
53,GMR Eco Park,"Tirumala, Tirupati , Andhra Pradesh 517505",13.6706807,79.3499414,4.6,133,,,,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1ufAF8QyjX3v8b-tsocpvYTpd71We9sO5/view?usp=sharing
54,Lord Balaji Flower Garden,"Seva Sadan Rd, Tirumala, Tirupati , Andhra Pradesh 517504",13.6874326,79.3494948,4.4,636,,,,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1T5xu692lmsy96v-jVjOk3xS07l66gN_3/view?usp=sharing
55,Sannidhi Park,"Tirumala-Tirupati Rd, Tirumala, Tirupati , Andhra Pradesh 517504",13.683347,79.350354,4.4,222,,,,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/11-f7QSQgxzm4dGdLAYzQg1U1OK4rcrwG/view?usp=sharing
56,Sacred Kadamba Vanam,"449, Garudadri Nagar Cir, Garudadri Nagar, Tirumala, Tirupati , Andhra Pradesh 517505",13.672651,79.348061,4.3,50,,,,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1FxHaQgEME-OyYkSgZ8XyZNKr9DugDjk7/view?usp=sharing
57,Birds Park,"Tirupati, Andhra Pradesh 517507",13.6548024,79.4189926,4,18,,,,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1PmPSbZM2o3VOsVqN6bxni9bCvSbfOcsf/view?usp=sharing
58,Srinivasa Park,"Alipiri Gate, Dwaraka Nagar, Tirupati, Andhra Pradesh 517507",13.6471285,79.408769,4.1,41,,,,,,,,place to visit,outdoor,park,"tirupati,tirumala",https://drive.google.com/file/d/1Rr8upVSltMzihOKpRfjTI85z2UcUk8CX/view?usp=sharing
